UNK
the
and
a
to
of
he
his
was
i
you
her
s
in
it
had
that
she
as
with
him
not
but
for
they
is
on
at
said
my
have
be
lord
them
no
from
would
were
me
your
all
when
one
will
if
ser
so
their
we
could
are
man
there
this
up
been
what
did
by
king
do
back
men
out
more
or
who
down
than
well
t
only
jon
like
some
father
old
tyrion
hand
even
too
before
never
an
see
know
off
into
made
now
eyes
told
lady
thought
black
time
then
how
d
has
can
might
long
us
where
come
here
through
still
face
ll
head
way
…
boy
must
once
queen
brother
good
night
red
over
little
about
other
two
took
came
though
say
again
should
away
son
dead
own
am
take
go
blood
arya
make
saw
jaime
three
day
first
himself
our
look
want
after
enough
much
bran
girl
tell
white
sword
its
looked
great
called
knew
asked
maester
gave
sansa
every
left
m
heard
let
yet
went
turned
dany
why
need
behind
wall
around
just
half
woman
another
beneath
across
knight
snow
keep
any
grace
found
cersei
last
those
stark
gods
castle
think
hair
against
feet
stannis
hands
catelyn
mother
many
gold
robert
prince
seemed
may
ever
lannister
robb
done
don
find
re
hear
name
put
horse
upon
water
wine
stone
high
fire
until
iron
voice
these
gone
hard
give
better
ned
sam
shall
years
always
seen
between
place
dark
small
winterfell
house
grey
most
cold
stood
words
sister
end
hundred
nothing
right
joffrey
walls
fingers
same
sea
young
cloak
does
watch
beside
get
mouth
door
under
few
sent
big
perhaps
almost
such
wanted
daughter
true
leave
while
city
theon
herself
lost
seven
others
wind
each
sweet
light
felt
very
yes
best
side
brought
children
die
died
soon
brothers
green
fear
north
child
brienne
along
far
both
word
taken
help
wife
davos
lords
tywin
something
ve
mean
battle
rest
hall
kill
new
began
strong
won
dragon
sound
past
life
tower
steel
killed
sons
free
arm
tried
thing
days
bloody
heart
love
moment
sat
bring
knights
pale
bed
bear
death
horses
inside
dragons
smile
cut
part
thousand
arms
nor
landing
wolf
above
close
bastard
going
open
uncle
air
please
laughed
river
rose
hot
fell
captain
golden
without
war
sleep
renly
four
speak
brown
fool
swords
certain
feel
fight
send
full
got
silver
tongue
rode
world
throat
legs
call
honor
thick
trees
sun
mormont
rock
set
table
pulled
tall
broken
women
steps
things
next
hodor
burned
oh
toward
deep
together
blue
heavy
given
beyond
dwarf
skin
since
alone
smiled
storm
moved
ride
raised
ask
hope
reached
remember
someone
coming
hold
eye
second
throne
cannot
meant
soft
morning
teeth
frey
remembered
else
which
walder
commander
jorah
truth
command
outside
doubt
ground
fat
cup
wore
ran
gate
known
held
room
closed
home
matter
wed
south
riverrun
people
tyrell
neck
tommen
instead
near
talk
food
none
turn
sky
ten
ships
summer
lips
below
wood
shadow
bolton
dozen
varys
watched
times
warm
shoulder
septon
believe
caught
least
blade
guards
answer
wondered
eddard
safe
shield
barristan
god
opened
mine
leather
armor
daenerys
return
moon
kept
wish
used
ice
smell
less
being
squire
floor
followed
run
friends
wedding
baratheon
serve
eat
foot
boys
cloaks
beard
sight
hound
ghost
strength
flesh
ship
returned
crown
empty
wrong
bones
says
aemon
nose
sometimes
commanded
chest
petyr
filled
friend
six
lysa
spoke
led
yours
show
aye
flames
yellow
asha
common
aside
huge
fighting
belly
seem
breath
crow
gates
greyjoy
yard
realm
covered
